230316, 과일과채류, 토마토, 토마토,1,0,300,,
230316, 엽경채류, 상추, 청상추,1,0,125,,
230316, 과일과채류, 딸기, 설향,1,0,400,,
230316, 과일과채류, 방울토마토, 대추방울,1,0,550,,
230316, 과일과채류, 참외, 오복,1,0,738,,
230316, 과일과채류, 토마토, 완숙토마토,1,0,450,,
230316, 과일과채류, 토마토, 토마토,1,0,320,,
230316, 엽경채류, 깻잎, 깻잎,1,0,910,,
230316, 조미채소류, 마늘, 깐마늘 대서,1,0,400,,
230316, 과일과채류, 딸기, 기타딸기,1,0,460,,
230316, 과일과채류, 참외, 금싸라기,1,0,662,,
230316, 엽경채류, 깻잎, 깻잎,1,0,360,,
230316, 엽경채류, 깻잎, 깻잎,1,0,360,,
230316, 과일과채류, 딸기, 기타딸기,1,0,930,,
230316, 과일과채류, 딸기, 설향,1,0,280,,
230316, 과일과채류, 방울토마토, 대추방울,1,0,650,,
230316, 과일과채류, 딸기, 왕딸기,1,0,400,,
230316, 서류, 고구마, 기타,1,0,88,,
230316, 과일과채류, 참외, 기타참외,1,0,788,,
230316, 과일과채류, 토마토, 토마토,1,0,280,,
230316, 과일과채류, 토마토, 토마토,1,0,280,,
230316, 과일과채류, 토마토, 완숙토마토,1,0,392,,
230316, 과일과채류, 수박, 수박,1,0,214.28572,,
230316, 과일과채류, 딸기, 설향,1,0,370,,
230316, 과일과채류, 딸기, 기타딸기,1,0,750,,
230316, 엽경채류, 시금치, 시금치,1,0,222,,
230316, 엽경채류, 깻잎, 깻잎,1,0,410,,
230316, 산채류, 방풍나물, 방풍나물,1,0,566.6667,,
230316, 과일과채류, 딸기, 설향,1,0,625,,
230316, 과일과채류, 토마토, 토마토,1,0,260,,
230316, 과일과채류, 참외, 기타참외,1,0,811,,
230316, 과일과채류, 수박, 수박,1,0,250,,
230316, 과일과채류, 딸기, 장희,1,0,280,,
230316, 과일과채류, 방울토마토, 대추방울,1,0,400,,
230316, 과일과채류, 딸기, 설향,1,0,325,,
230316, 서류, 고구마, 기타,1,0,101,,
230316, 과일과채류, 토마토, 완숙토마토,1,0,332,,
230316, 조미채소류, 마늘, 깐마늘 대서,1,0,600,,
230316, 버섯류, 표고버섯, 표고버섯,1,0,340,,
230316, 과일과채류, 수박, 수박,1,0,277.77777,,
230316, 과일과채류, 딸기, 왕딸기,1,0,500,,
230316, 과일과채류, 딸기, 왕딸기,1,0,230,,
230316, 과일과채류, 딸기, 왕딸기,1,0,500,,
230316, 과일과채류, 딸기, 왕딸기,1,0,230,,
230316, 버섯류, 표고버섯, 표고버섯,1,0,340,,
230316, 과일과채류, 딸기, 설향,1,0,450,,
230316, 과일과채류, 참외, 기타참외,1,0,821,,
230316, 산채류, 취나물, 취나물,1,0,577,,
230316, 과일과채류, 딸기, 기타딸기,1,0,380,,
230316, 과일과채류, 수박, 수박,1,0,300,,
230316, 과일과채류, 딸기, 장희,1,0,450,,
230316, 서류, 고구마, 기타,1,0,120,,
230316, 과일과채류, 딸기, 설향,1,0,450,,
230316, 과일과채류, 토마토, 완숙토마토,1,0,272,,
230316, 엽경채류, 머위대, 머위잎,1,0,690,,
230316, 산채류, 취나물, 기타취나물,1,0,500,,
230316, 버섯류, 표고버섯, 표고버섯,1,0,330,,
230316, 엽경채류, 머위대, 머위잎,1,0,1100,,
230316, 과일과채류, 토마토, 토마토,1,0,260,,
230316, 버섯류, 표고버섯, 표고버섯,1,0,330,,
230316, 과일과채류, 딸기, 설향,1,0,675,,
230316, 과실류, 금감, 금감,1,0,280,,
230316, 과일과채류, 딸기, 기타딸기,1,0,510,,
230316, 과일과채류, 딸기, 설향,1,0,700,,
230316, 과일과채류, 딸기, 장희,1,0,800,,
230316, 과일과채류, 딸기, 왕딸기,1,0,1000,,
230316, 과일과채류, 딸기, 왕딸기,1,0,700,,
230316, 과일과채류, 딸기, 왕딸기,1,0,1200,,
230316, 과일과채류, 딸기, 설향,1,0,450,,
230316, 엽경채류, 상추, 청상추,1,0,150,,
230316, 과일과채류, 참외, 기타참외,1,0,771,,
230316, 버섯류, 표고버섯, 표고버섯,1,0,270,,
230316, 산채류, 취나물, 기타취나물,1,0,690,,
230316, 서류, 고구마, 기타,1,0,102,,
230316, 버섯류, 표고버섯, 표고버섯,1,0,270,,
