230403, 산채류, 방풍나물, 방풍나물, 1, 0, 200.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 540.0
230403, 과일과채류, 딸기, 설향, 1, 0, 400.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 488.0
230403, 과실류, 사과, 미얀마, 1, 0, 344.5
채류, 미나리, 미나리, 1, 0, 360.0
230403, 과일과채류, 토마토, 기타토마토, 1, 0, 320.0
230403, 엽경채류, 상추, 적상추, 1, 0, 355.0
230403, 과실류, 오렌지, 오렌지, 0, 0, 391.66666
230403, 농림가공, 전분 및 사료제조, 기타, 1, 0, 183.33333
230403, 과일과채류, 토마토, 토마토, 1, 0, 325.0
230403, 과일과채류, 딸기, 설향, 1, 0, 230.0
230403, 과일과채류, 딸기, 기타딸기, 1, 0, 800.0
230403, 과일과채류, 방울토마토, 대추방울, 1, 0, 533.3333
230403, 과일과채류, 토마토, 토마토, 1, 0, 280.0
류, 호박, 애호박, 1, 0, 206.25
230403, 과일과채류, 딸기, 설향, 1, 0, 800.0
230403, 엽경채류, 부추, 일반부추, 1, 0, 220.0
230403, 과일과채류, 딸기, 설향, 1, 0, 250.0
230403, 산채류, 두릅, 땅두릅, 1, 0, 905.0
230403, 버섯류, 느타리버섯, 느타리버섯, 1, 0, 335.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 650.0
230403, 산채류, 취나물, 취나물, 1, 0, 1625.0
230403, 과일과채류, 방울토마토, 방울토마토, 1, 0, 180.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 365.0
230403, 산채류, 두릅, 두릅, 1, 0, 2666.6667
230403, 과실류, 사과, 미시마, 1, 0, 220.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 220.0
230403, 과채류, 오이, 백다다기, 1, 0, 214.66667
230403, 과일과채류, 토마토, 토마토, 1, 0, 440.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 530.0
230403, 과일과채류, 토마토, 대저토마토, 1, 0, 360.0
230403, 과일과채류, 딸기, 설향, 1, 0, 350.0
230403, 산채류, 방풍나물, 방풍나물, 1, 0, 60.0
230403, 엽경채류, 깻잎, 깻잎, 1, 0, 1190.0
230403, 과일과채류, 딸기, 설향, 1, 0, 320.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 440.0
230403, 과일과채류, 딸기, 설향, 1, 0, 635.0
230403, 엽경채류, 상추, 청상추, 1, 0, 300.0
230403, 과실류, 만감, 진지향, 1, 0, 560.0
230403, 엽경채류, 상추, 포기찹, 1, 0, 630.0
230403, 과일과채류, 토마토, 기타토마토, 1, 0, 450.0
230403, 엽경채류, 아욱, 아욱, 1, 0, 360.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 660.0
230403, 과일과채류, 딸기, 설향, 1, 0, 900.0
230403, 과채류, 오이, 백다다기, 1, 0, 290.0
230403, 과실류, 사과, 미시마, 1, 0, 220.0
230403, 과채류, 호박, 애호박, 1, 0, 237.5
230403, 과채류, 오이, 백다다기, 1, 0, 235.0
230403, 과일과채류, 참외, 노랑참외, 1, 0, 585.0
230403, 서류, 고구마, 밤고구마, 1, 0, 100.0
230403, 과일과채류, 딸기, 설향, 1, 0, 360.0
230403, 버섯류, 느타리버섯, 느타리버섯, 1, 0, 330.0
230403, 과일과채류, 딸기, 설향, 1, 0, 800.0
230403, 엽경채류, 열무, 열무, 1, 0, 147.5
230403, 과일과채류, 딸기, 설향, 1, 0, 1075.0
230403, 과채류, 오이, 백다다기, 1, 0, 273.33334
230403, 과일과채류, 딸기, 설향, 1, 0, 400.0
230403, 서류, 고구마, 밤고구마, 1, 0, 150.0
230403, 농림가공, 전분 및 사료제조, 기타, 1, 0, 200.0
230403, 과채류, 오이, 백다다기, 1, 0, 225.0
230403, 양채류, 파프리카, 빨강파프리카, 1, 0, 380.0
230403, 과일과채류, 딸기, 설향, 1, 0, 300.0
230403, 과일과채류, 딸기, 기타딸기, 1, 0, 1650.0
230403, 조미채소류, 쪽파, 깐쪽파, 1, 0, 305.0
230403, 양채류, 파프리카, 노랑파프리카, 1, 0, 320.0
230403, 과실류, 사과, 미얀마, 1, 0, 240.0
230403, 엽경채류, 깻잎, 깻잎순, 1, 0, 531.25
230403, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 80.0
230403, 과실류, 배, 신고, 1, 0, 110.0
230403, 서류, 고구마, 밤고구마, 1, 0, 186.0
230403, 과실류, 배, 신고, 1, 0, 120.0
230403, 과일과채류, 메론, 네트계, 1, 0, 312.5
230403, 과일과채류, 토마토, 토마토, 1, 0, 346.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 324.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 284.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 330.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 256.0
230403, 과실류, 배, 신고, 1, 0, 113.333336
230403, 과실류, 배, 신고, 1, 0, 144.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 520.0
