230403, 서류, 고구마, 밤고구마, 1, 0, 225.0
230403, 근채류, 연근, 연근, 0, 0, 333.33334
230403, 산채류, 취나물, 취나물, 1, 0, 475.0
230403, 엽경채류, 미나리, 미나리, 1, 0, 367.5
230403, 조미채소류, 대파, 대파, 1, 0, 92.0
230403, 과실류, 만감, 진지향, 1, 0, 533.3333
230403, 과채류, 오이, 백다다기, 1, 0, 293.75
230403, 서류, 고구마, 호박고구마, 1, 0, 70.0
230403, 과일과채류, 딸기, 설향, 1, 0, 300.0
230403, 과실류, 만감, 기타만감, 1, 0, 383.33334
230403, 과일과채류, 토마토, 토마토, 1, 0, 520.0
230403, 엽경채류, 쑥, 쑥, 1, 0, 130.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 160.0
230403, 엽경채류, 깻잎, 깻잎, 1, 0, 1100.0
230403, 과실류, 만감, 한라봉, 1, 0, 288.8889
230403, 과일과채류, 딸기, 설향, 1, 0, 700.0
230403, 과일과채류, 참외, 노랑참외, 1, 0, 700.0
230403, 과일과채류, 딸기, 설향, 1, 0, 1000.0
230403, 엽경채류, 시금치, 시금치, 1, 0, 220.0
230403, 근채류, 우엉, 우엉, 1, 0, 213.0
230403, 엽경채류, 깻잎, 기타깻잎, 1, 0, 400.0
230403, 산채류, 두릅, 땅두릅, 1, 0, 1180.0
230403, 엽경채류, 상추, 청상추, 1, 0, 250.0
230403, 조미채소류, 쪽파, 쪽파, 1, 0, 225.0
230403, 산채류, 두릅, 땅두릅, 1, 0, 1315.0
230403, 조미채소류, 양파, 기타양파, 1, 0, 110.0
230403, 과채류, 오이, 백다다기, 1, 0, 342.0
230403, 산채류, 두릅, 땅두릅, 1, 0, 1230.0
230403, 조미채소류, 쪽파, 쪽파, 1, 0, 160.0
230403, 산채류, 두릅, 땅두릅, 1, 0, 1300.0
230403, 산채류, 두릅, 땅두릅, 1, 0, 910.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 200.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 460.0
230403, 과채류, 오이, 백다다기, 1, 0, 260.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 340.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 400.0
230403, 과일과채류, 딸기, 설향, 1, 0, 300.0
230403, 과실류, 오렌지, 네블, 1, 0, 244.44444
230403, 엽경채류, 깻잎, 깻잎, 1, 0, 813.3333
230403, 조미채소류, 쪽파, 깐쪽파, 1, 0, 180.0
230403, 산채류, 취나물, 취나물, 1, 0, 36.2
230403, 과일과채류, 딸기, 설향, 1, 0, 850.0
230403, 과실류, 사과, 미얀마, 1, 0, 229.5
230403, 과일과채류, 딸기, 설향, 1, 0, 900.0
230403, 과일과채류, 딸기, 설향, 1, 0, 650.0
230403, 과실류, 사과, 미얀마, 1, 0, 312.5
230403, 과일과채류, 딸기, 설향, 1, 0, 650.0
230403, 과일과채류, 딸기, 설향, 1, 0, 650.0
230403, 과실류, 사과, 미얀마, 1, 0, 264.5
230403, 과일과채류, 딸기, 설향, 1, 0, 150.0
230403, 과실류, 사과, 미얀마, 1, 0, 334.5
230403, 산채류, 취나물, 취나물, 1, 0, 339.0
230403, 과일과채류, 토마토, 대저토마토, 1, 0, 224.0
230403, 과실류, 아보카도, 아보카도, 1, 0, 540.0
230403, 엽경채류, 깻잎, 깻단, 1, 0, 557.5
230403, 과실류, 아보카도, 아보카도, 1, 0, 540.0
230403, 과실류, 아보카도, 아보카도, 1, 0, 540.0
230403, 조미채소류, 쪽파, 깐쪽파, 1, 0, 160.0
230403, 과실류, 아보카도, 아보카도, 1, 0, 540.0
230403, 과일과채류, 토마토, 기타토마토, 1, 0, 360.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 352.0
