230403, 과일과채류, 참외, 금싸라기, 1, 0, 480.0
230403, 엽경채류, 깻잎, 깻잎, 1, 0, 1400.0
230403, 과일과채류, 수박, 수박, 1, 0, 300.0
230403, 엽경채류, 양배추, 양배추, 1, 0, 65.0
230403, 과일과채류, 방울토마토, 대추방울, 1, 0, 142.0
230403, 엽경채류, 쑥, 쑥, 1, 0, 33.0
230403, 과일과채류, 딸기, 기타딸기, 1, 0, 570.0
230403, 과일과채류, 딸기, 설향, 1, 0, 510.0
230403, 과채류, 오이, 노각, 1, 0, 71.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 240.0
230403, 과실류, 곶감, 기타곶감, 1, 0, 250.0
230403, 과일과채류, 딸기, 설향, 1, 0, 500.0
230403, 서류, 고구마, 밤고구마, 1, 0, 175.0
230403, 과일과채류, 딸기, 설향, 1, 0, 950.0
230403, 과실류, 사과, 후지, 1, 0, 266.0
230403, 과일과채류, 방울토마토, 대추방울, 1, 0, 466.66666
230403, 과실류, 사과, 미시마, 1, 0, 360.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 390.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 230.0
230403, 과채류, 오이, 가시오이, 1, 0, 245.0
230403, 서류, 고구마, 밤고구마, 1, 0, 175.0
230403, 과일과채류, 딸기, 설향, 1, 0, 400.0
230403, 엽경채류, 깻잎, 깻잎순, 1, 0, 433.33334
230403, 과일과채류, 딸기, 설향, 1, 0, 280.0
230403, 과일과채류, 딸기, 설향, 1, 0, 330.0
230403, 과일과채류, 토마토, 기타토마토, 1, 0, 920.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 600.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 312.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 420.0
230403, 과일과채류, 방울토마토, 대추방울, 1, 0, 516.6667
230403, 과실류, 만감, 기타만감, 1, 0, 433.33334
230403, 과일과채류, 딸기, 설향, 1, 0, 550.0
230403, 과일과채류, 딸기, 설향, 1, 0, 750.0
230403, 과실류, 배, 신고, 1, 0, 126.666664
230403, 서류, 고구마, 기타, 1, 0, 210.0
230403, 과실류, 사과, 후지, 1, 0, 250.0
230403, 엽경채류, 깻잎, 깻잎, 1, 0, 515.0
230403, 조미채소류, 양파, 기타양파, 1, 0, 133.33333
230403, 과일과채류, 참외, 금싸라기, 1, 0, 600.0
230403, 과실류, 곶감, 기타곶감, 1, 0, 812.5
230403, 과실류, 배, 신고, 1, 0, 126.666664
230403, 과일과채류, 토마토, 토마토, 1, 0, 320.0
230403, 과실류, 곶감, 기타곶감, 1, 0, 1400.0
230403, 과일과채류, 딸기, 설향, 1, 0, 320.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 324.0
230403, 과일과채류, 딸기, 설향, 1, 0, 325.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 268.0
230403, 과일과채류, 딸기, 설향, 1, 0, 400.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 420.0
230403, 양채류, 적채, 적채, 1, 0, 87.5
230403, 버섯류, 표고버섯, 표고버섯, 1, 0, 600.0
230403, 과채류, 호박, 애호박, 1, 0, 247.5
230403, 엽경채류, 시금치, 시금치, 1, 0, 187.5
230403, 버섯류, 양송이, 기타양송이, 1, 0, 925.0
230403, 근채류, 알타리무, 알타리무, 1, 0, 126.666664
230403, 과채류, 호박, 애호박, 1, 0, 286.25
230403, 양채류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 475.0
230403, 버섯류, 양송이, 기타양송이, 1, 0, 510.0
230403, 엽경채류, 시금치, 시금치, 1, 0, 170.0
230403, 과채류, 호박, 애호박, 1, 0, 285.0
230403, 서류, 고구마, 기타, 1, 0, 214.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 632.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 352.0
230403, 과실류, 오렌지, 네블, 1, 0, 211.11111
230403, 과일과채류, 참외, 기타참외, 1, 0, 505.0
230403, 산채류, 두릅, 땅두릅, 1, 0, 960.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 277.0
