230403, 과일과채류, 딸기, 설향, 1, 0, 700.0
230403, 과실류, 사과, 후지, 1, 0, 110.0
230403, 과실류, 사과, 미얀마, 1, 0, 324.5
230403, 과일과채류, 딸기, 설향, 1, 0, 800.0
230403, 과일과채류, 딸기, 설향, 1, 0, 800.0
230403, 과실류, 사과, 미얀마, 1, 0, 225.5
230403, 과실류, 사과, 미얀마, 1, 0, 214.5
230403, 과실류, 사과, 미얀마, 1, 0, 190.5
230403, 과실류, 사과, 미얀마, 1, 0, 180.0
230403, 과실류, 사과, 미얀마, 1, 0, 250.0
230403, 과실류, 사과, 미얀마, 1, 0, 160.0
230403, 과실류, 사과, 미얀마, 1, 0, 129.5
230403, 과실류, 사과, 미얀마, 1, 0, 221.0
230403, 과일과채류, 방울토마토, 방울토마토, 1, 0, 560.0
230403, 과채류, 호박, 애호박, 1, 0, 201.25
230403, 과일과채류, 방울토마토, 대추방울, 1, 0, 733.3333
230403, 과실류, 사과, 미얀마, 1, 0, 130.0
230403, 약용작물류, 참당귀, 당귀잎, 1, 0, 620.0
230403, 과실류, 만감, 기타만감, 1, 0, 833.3333
230403, 과일과채류, 참외, 기타참외, 1, 0, 450.0
230403, 과일과채류, 방울토마토, 대추방울, 1, 0, 733.3333
230403, 산채류, 두릅, 두릅, 1, 0, 1000.0
230403, 과일과채류, 참외, 오복, 1, 0, 800.0
230403, 과일과채류, 방울토마토, 대추방울, 1, 0, 733.3333
230403, 과일과채류, 방울토마토, 대추방울, 1, 0, 733.3333
230403, 과일과채류, 참외, 오복, 1, 0, 550.0
230403, 약용작물류, 참당귀, 당귀잎, 1, 0, 620.0
230403, 과일과채류, 참외, 노랑참외, 1, 0, 680.0
230403, 과일과채류, 딸기, 설향, 1, 0, 140.0
230403, 버섯류, 새송이, 새송이버섯, 1, 0, 190.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 680.0
230403, 엽경채류, 머위대, 생머위대, 1, 0, 200.0
230403, 과일과채류, 딸기, 설향, 1, 0, 500.0
230403, 산채류, 취나물, 취나물, 1, 0, 100.0
230403, 과일과채류, 방울토마토, 대추방울, 1, 0, 480.0
230403, 과실류, 사과, 후지, 1, 0, 346.0
230403, 산채류, 마, 기타마, 1, 0, 165.0
230403, 엽경채류, 음나무순, 음나무순, 1, 0, 500.0
230403, 조미채소류, 대파, 대파, 1, 0, 150.0
230403, 엽경채류, 부추, 일반부추, 1, 0, 100.0
230403, 과실류, 만감, 기타만감, 1, 0, 510.0
