채소류, 꽈리고추, 꽈리고추, 1, 0, 937.5
230403, 엽경채류, 배추, 기타배추, 1, 0, 63.0
230403, 엽경채류, 청경채, 청경채, 1, 0, 112.5
230403, 서류, 고구마, 기타, 1, 0, 145.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 605.0
230403, 과일과채류, 딸기, 설향, 1, 0, 700.0
230403, 과일과채류, 딸기, 설향, 1, 0, 800.0
230403, 엽경채류, 상추, 청상추, 1, 0, 280.0
230403, 과채류, 오이, 백다다기, 1, 0, 260.0
230403, 과일과채류, 방울토마토, 대추방울, 1, 0, 333.33334
230403, 과일과채류, 딸기, 설향, 1, 0, 950.0
230403, 엽경채류, 청경채, 청경채, 1, 0, 112.5
230403, 엽경채류, 배추, 기타배추, 1, 0, 35.0
230403, 과일과채류, 딸기, 기타딸기, 1, 0, 820.0
230403, 과채류, 오이, 백다다기, 1, 0, 280.0
230403, 과일과채류, 딸기, 설향, 1, 0, 520.0
230403, 서류, 고구마, 호박고구마, 1, 0, 160.0
230403, 과일과채류, 딸기, 설향, 1, 0, 400.0
230403, 조미채소류, 풋고추, 모닝, 1, 0, 452.6316
230403, 과실류, 오렌지, 기타오렌지, 1, 0, 372.22223
230403, 산채류, 방풍나물, 방풍나물, 1, 0, 145.0
230403, 과일과채류, 방울토마토, 대추방울, 1, 0, 333.33334
230403, 엽경채류, 상추, 청상추, 1, 0, 280.0
230403, 과일과채류, 딸기, 설향, 1, 0, 350.0
230403, 과일과채류, 수박, 수박, 1, 0, 201.11111
230403, 농림가공, 절임식품, 기타, 1, 0, 377.77777
230403, 과일과채류, 딸기, 장희, 1, 0, 550.0
230403, 과일과채류, 딸기, 설향, 1, 0, 400.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 400.0
230403, 산채류, 새싹, 새싹, 1, 0, 520.0
230403, 과채류, 오이, 가시오이, 1, 0, 210.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 320.0
230403, 과실류, 배, 신고, 1, 0, 201.33333
230403, 과일과채류, 토마토, 찰토마토, 1, 0, 360.0
230403, 버섯류, 새송이, 새송이버섯, 1, 0, 455.0
230403, 서류, 고구마, 밤고구마, 1, 0, 180.0
230403, 과채류, 호박, 애호박, 1, 0, 320.0
230403, 산채류, 새싹, 새싹, 1, 0, 520.0
