deal_date,large,medium,소,origin,income,가격
20230311,소,갈비,1+등급,korea,7147,7147,7147
20230311,소,갈비,1등급,korea,6849,6849,6849
20230311,돼지,앞다리,앞다리,korea,1265,1265,1265
20230311,돼지,삼겹살,삼겹살,korea,2238,2238,2238
20230311,돼지,갈비,갈비,korea,1310,1310,1310
20230311,돼지,목심,목심,korea,2052,2052,2052
20230311,수입 소고기,갈비,미국산,income,3762,3762,3762
20230311,수입 소고기,갈비,호주산,income,4092,4092,4092
20230311,수입 소고기,갈비살,미국산,income,4307,4307,4307
20230311,수입 돼지고기,삼겹살,삼겹살,income,1479,1479,1479
20230311,닭,육계(kg),육계(kg),korea,5996,5996,5996
20230311,계란,특란10구,일반란,korea,3806,3806,3806
20230311,계란,특란30구,일반란,korea,6028,6028,6028
20230311,우유,흰우유,흰우유,korea,2882,2882,2882
20230312,소,안심,1++등급,korea,14793,14793,14793
20230312,소,안심,1+등급,korea,13203,13203,13203
20230312,소,안심,1등급,korea,12134,12134,12134
20230312,소,등심,1++등급,korea,13206,13206,13206
20230312,소,등심,1+등급,korea,10558,10558,10558
20230312,소,등심,1등급,korea,9242,9242,9242
20230312,소,설도,1++등급,korea,4776,4776,4776
20230312,소,설도,1+등급,korea,4253,4253,4253
20230312,소,설도,1등급,korea,4061,4061,4061
20230312,소,양지,1++등급,korea,6343,6343,6343
20230312,소,양지,1+등급,korea,5584,5584,5584
20230312,소,양지,1등급,korea,5424,5424,5424
20230312,소,갈비,1++등급,korea,8624,8624,8624
20230312,소,갈비,1+등급,korea,7158,7158,7158
20230312,소,갈비,1등급,korea,6842,6842,6842
20230312,돼지,앞다리,앞다리,korea,1265,1265,1265
20230312,돼지,삼겹살,삼겹살,korea,2238,2238,2238
20230312,돼지,갈비,갈비,korea,1309,1309,1309
20230312,돼지,목심,목심,korea,2050,2050,2050
20230312,수입 소고기,갈비,미국산,income,3768,3768,3768
20230312,수입 소고기,갈비,호주산,income,4092,4092,4092
20230312,수입 소고기,갈비살,미국산,income,4313,4313,4313
20230312,수입 돼지고기,삼겹살,삼겹살,income,1467,1467,1467
20230312,닭,육계(kg),육계(kg),korea,5996,5996,5996
20230312,계란,특란10구,일반란,korea,3806,3806,3806
20230312,계란,특란30구,일반란,korea,6028,6028,6028
20230312,우유,흰우유,흰우유,korea,2882,2882,2882
20230313,소,안심,1++등급,korea,14786,14786,14786
20230313,소,안심,1+등급,korea,13206,13206,13206
20230313,소,안심,1등급,korea,12158,12158,12158
20230313,소,등심,1++등급,korea,13181,13181,13181
20230313,소,등심,1+등급,korea,10535,10535,10535
